01000|San Ángel|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0001|Urbano|01
01010|Los Alpes|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0005|Urbano|01
01020|Guadalupe Inn|Colonia|Álvaro Obregón|Ciudad de México|Ciudad de México|01001|09|01001||09|010|0006|Urbano|01
64000|Monterrey Centro|Colonia|Monterrey|Nuevo León|Monterrey|64008|19|64008||09|039|0001|Urbano|07
64000|La Finca|Condominio|Monterrey|Nuevo León|Monterrey|64008|19|64008||10|039|3429|Urbano|07
64010|Obrera|Colonia|Monterrey|Nuevo León|Monterrey|64008|19|64008||09|039|0011|Urbano|07
